pickup_hour_year,trips
"2023, 00 hrs",181.60006
"2023, 01 hrs",141.08241
"2023, 02 hrs",105.30334
"2023, 03 hrs",69.79547
"2023, 04 hrs",45.20041
"2023, 05 hrs",46.74769
"2023, 06 hrs",108.9642
"2023, 07 hrs",195.70574
"2023, 08 hrs",256.54175
"2023, 09 hrs",271.64968
"2023, 10 hrs",272.51304
"2023, 11 hrs",290.62576
"2023, 12 hrs",305.48291
"2023, 13 hrs",307.44708
"2023, 14 hrs",324.06618
"2023, 15 hrs",326.36223
"2023, 16 hrs",318.11448
"2023, 17 hrs",351.04652
"2023, 18 hrs",375.36259
"2023, 19 hrs",341.96038
"2023, 20 hrs",300.47646
"2023, 21 hrs",296.26944
"2023, 22 hrs",272.84975
"2023, 23 hrs",216.71368
"2024, 00 hrs",130.38491
"2024, 01 hrs",97.37443
"2024, 02 hrs",70.96563
"2024, 03 hrs",45.27678
"2024, 04 hrs",28.42898
"2024, 05 hrs",30.33812
"2024, 06 hrs",75.11666
"2024, 07 hrs",137.36922
"2024, 08 hrs",185.70401
"2024, 09 hrs",203.7494
"2024, 10 hrs",212.43121
"2024, 11 hrs",231.61597
"2024, 12 hrs",245.645
"2024, 13 hrs",248.737
"2024, 14 hrs",260.07245
"2024, 15 hrs",263.75454
"2024, 16 hrs",254.02595
"2024, 17 hrs",276.4966
"2024, 18 hrs",293.31675
"2024, 19 hrs",263.3027
"2024, 20 hrs",224.7342
"2024, 21 hrs",216.23653
"2024, 22 hrs",197.39924
"2024, 23 hrs",158.97282
